Year,WA1,WA2,OR1,OR2,OR3,CA1,CA2,CA3,CA4,CA5,CA6,CA7
1980,6.1111,-1.8095,5.9524,3.4206,4.1250,12.7361,6.7222,12.2000,14.6667,14.1905,19.0833,16.2111
1981,10.6296,5.1759,9.6042,6.1032,5.7111,14.4000,8.0648,13.0000,15.2531,14.6587,19.9722,17.4722
1982,6.8333,1.7315,6.5069,3.6111,1.8222,10.7361,3.8556,9.2556,12.7292,11.1032,17.2469,13.5926
1983,9.8148,5.8981,9.8542,6.8750,5.7500,14.3148,6.5111,10.9444,14.1296,10.5000,20.4848,16.1587
1984,9.2778,3.5000,9.0417,3.6319,3.9222,14.0926,5.4222,13.8333,15.1746,13.0873,20.6869,17.7698
1985,6.9815,-1.6944,5.8333,0.7917,2.2111,13.6111,4.2333,10.8796,12.8651,9.7222,17.9778,14.9048
1986,9.9259,2.8426,10.3194,6.4236,7.5778,15.8333,9.6759,14.6944,15.8958,15.9841,21.6768,19.2937
1987,8.0000,1.2685,7.8889,3.4375,3.0778,13.7963,4.7315,11.4524,13.5494,12.1597,18.0707,14.1746
1988,7.7361,1.5185,7.3681,3.2284,3.7778,13.2222,3.6296,12.5317,14.2847,13.4236,18.8636,14.4841
1989,7.7778,4.3611,8.3194,4.3148,2.4815,10.4667,2.5278,11.8519,13.5972,12.3333,18.9333,14.3571
1990,8.8889,5.7130,9.1667,6.2654,6.1333,11.8611,6.3333,12.7130,14.6049,13.8472,19.5222,15.5741
1991,7.4444,1.4556,7.9167,3.7963,6.2500,12.5889,7.1296,13.9683,15.1458,14.3056,19.1919,15.1905
1992,9.5278,4.3889,9.9444,6.5247,6.3333,12.8000,7.5370,11.4444,13.5988,9.5347,20.7222,14.5463
1993,6.1250,-2.0648,5.5972,-0.8086,0.2361,10.6111,2.2778,11.0873,13.2778,12.6319,17.6667,11.9556
1994,9.9167,6.2500,10.1597,7.9198,7.5278,13.6481,8.2556,14.0370,15.1358,14.1458,21.0944,17.7130
1995,9.9306,2.3611,9.9028,5.0247,5.8222,12.2407,6.0926,11.7315,14.0494,15.1181,17.0778,13.5000
1996,6.8889,0.8333,8.2460,5.6111,4.9074,11.4167,6.8889,12.3426,15.1111,13.4028,19.3472,17.5000
1997,8.1528,1.3889,8.1667,4.6032,4.1222,12.0952,5.7857,11.8889,13.9833,13.6746,17.9722,16.2037
1998,8.6852,2.8968,10.2531,6.7569,5.7130,11.8333,7.0159,11.5833,14.4444,14.3542,18.2833,16.0159
1999,7.6667,4.5000,9.1181,7.3016,5.5556,11.6875,7.4630,11.7444,13.6818,11.3968,19.7667,17.0139
2000,7.7778,1.9568,7.9583,5.1181,4.2556,11.2540,6.3413,12.1296,14.5093,15.4683,19.1420,16.5333
2001,8.6759,1.7593,9.1543,3.6905,4.3730,12.3571,6.5873,12.2698,14.1970,13.9306,17.8182,14.3016
2002,7.8519,3.8519,8.5556,4.1481,3.8254,10.7593,6.0556,11.1032,13.5972,11.7619,17.7611,15.4603
2003,10.3889,4.0333,11.4012,7.6270,7.7986,14.2500,10.3125,14.2130,16.2546,14.2381,22.8056,19.3333
2004,7.0463,0.3254,7.7569,2.2889,3.9286,11.1389,6.1190,11.2222,13.5404,12.0000,18.2531,15.6000
2005,8.1574,1.3642,9.3958,5.4097,4.2685,11.1905,4.5476,10.6778,13.2020,11.5463,18.6296,14.7315
2006,9.4167,5.2963,9.9127,7.1667,4.1667,11.2315,6.3175,12.2870,15.0303,14.1759,18.9722,14.0444
2007,7.3796,0.5486,7.1190,4.1111,4.5778,10.5556,6.1905,13.3333,14.6000,13.3175,18.2870,14.9333
2008,6.7963,-0.1481,6.1481,3.1944,1.2361,9.2333,3.5556,9.9000,12.6458,13.0556,17.1032,13.5635
2009,7.1000,0.6852,7.8056,4.4444,5.9444,12.7460,7.8519,14.9444,16.5486,14.2143,21.4722,17.6825
2010,10.2667,4.2056,10.7698,6.4630,5.5778,11.9603,6.4537,11.5093,13.5778,12.7857,19.3086,14.5000
